"Sizes", "Sizes"
"General Settings", "General Settings"
"Enable for Frontend", "Enable for Frontend"
"Unit Sizes", "Unit Sizes"
"Attach to Attributes", "Attach to Attributes"
"Popup Settings", "Popup Settings"
"Margin", "Margin"
"Padding", "Padding"
"Close Button", "Close Button"
"Events Effect", "Events Effect"
"Events Speed", "Events Speed"
"Messages", "Messages"
"Before Calculate", "Before Calculate"
"Optimal Size", "Optimal Size"
"Another Sizes", "Another Sizes"
"No Sizes", "No Sizes"
"Notice", "Notice"
"Calculation Settings", "Calculation Settings"
"Non-accurate dimensions", "Non-accurate dimensions"
"Size Tolerance", "Size Tolerance"
"in pixels", "in pixels"
"HTML is allowed", "HTML is allowed"
"in percents", "in percents"

"inches", "inches"
"mm", "mm"
"cm", "cm"
"Fade", "Fade"
"Elastic", "Elastic"
"None", "None"
"Slow", "Slow"
"Normal", "Normal"
"Fast", "Fast"

"Sizes Categories Management", "Sizes Categories Management"
"Sizes Standards Management", "Sizes Standards Management"
"Id", "Id"
"Category Code", "Category Code"
"Default Label", "Default Label"
"Sort Order", "Sort Order"
"Actions", "Actions"
"Standard Name", "Standard Name"
"Values", "Values"
"Add New", "Add New"

"Men Shirts", "Men Shirts"
"Men Jackets", "Men Jackets"
"Men Shorts", "Men Shorts"
"Men Jeans", "Men Jeans"
"Men Pants", "Men Pants"
"Women Shirts", "Women Shirts"
"Women Jackets", "Women Jackets"
"Women Dresses", "Women Dresses"
"Women Skirts", "Women Skirts"
"Women Jeans", "Women Jeans"
"Women Shorts", "Women Shorts"
"Women Pants", "Women Pants"

"Chest", "Chest"
"Waist", "Waist"
"Inseam", "Inseam"
"Hips", "Hips"
"Cup Size", "Cup Size"
"Height", "Height"
"Weight", "Weight"
"Length", "Length"
"Neck", "Neck"

"All values are in", "All values are in"
"Calculate your size", "Calculate your size"
" may be a bit bigger in the ", " may be a bit bigger in the "
" may be a bit smaller in the ", " may be a bit smaller in the "
